"ID_RSU";"LCZ_PRIMARY";"LCZ_UNIQUENESS_VALUE";"ID_RSU.1";"LCZ_PRIMARY.1";"LCZ_UNIQUENESS_VALUE.1";"area";"agree";"location"
465;"Sparsely Built";1;198;"Sparsely Built";0.605966222004417;13296.3460302027;TRUE;"Your Place"
518;"Sparsely Built";0.80577474521471;198;"Sparsely Built";0.605966222004417;101.954524129163;TRUE;"Your Place"
400;"Bare rock paved";NA;198;"Sparsely Built";0.605966222004417;1958.95578617835;FALSE;"Your Place"
402;"Bare rock paved";NA;198;"Sparsely Built";0.605966222004417;67.5530623369414;FALSE;"Your Place"
405;"Bare rock paved";NA;198;"Sparsely Built";0.605966222004417;113.25446288439;FALSE;"Your Place"
430;"Bare rock paved";NA;198;"Sparsely Built";0.605966222004417;8.65744661462668;FALSE;"Your Place"
489;"Bare rock paved";NA;198;"Sparsely Built";0.605966222004417;42.7928159751464;FALSE;"Your Place"
425;"Scattered trees";NA;198;"Sparsely Built";0.605966222004417;132.278337494354;FALSE;"Your Place"
441;"Sparsely Built";1;203;"Sparsely Built";1;12958.9482921773;TRUE;"Your Place"
453;"Sparsely Built";1;203;"Sparsely Built";1;43389.3618476241;TRUE;"Your Place"
477;"Sparsely Built";0.920165357842559;203;"Sparsely Built";1;3.1826222112868;TRUE;"Your Place"
497;"Open low";0.196115506076856;203;"Sparsely Built";1;38.8466502401279;FALSE;"Your Place"
500;"Open low";0.238084361499886;203;"Sparsely Built";1;58.7299547755247;FALSE;"Your Place"
531;"Sparsely Built";0.567013665405127;203;"Sparsely Built";1;117.414378240093;TRUE;"Your Place"
562;"Sparsely Built";0.291669813158481;203;"Sparsely Built";1;121.67366597915;TRUE;"Your Place"
748;"Open low";0.213118522713949;203;"Sparsely Built";1;12.441280095758;FALSE;"Your Place"
838;"Compact low";0.06793028881648;203;"Sparsely Built";1;16.4085316736455;FALSE;"Your Place"
620;"Large low";NA;203;"Sparsely Built";1;228.265284632565;FALSE;"Your Place"
431;"Bare rock paved";NA;203;"Sparsely Built";1;35.5044789492385;FALSE;"Your Place"
436;"Bare rock paved";NA;203;"Sparsely Built";1;151.940475916769;FALSE;"Your Place"
443;"Bare rock paved";NA;203;"Sparsely Built";1;56.676605879562;FALSE;"Your Place"
537;"Low plants";NA;203;"Sparsely Built";1;6587.66305345629;FALSE;"Your Place"
610;"Bare rock paved";NA;203;"Sparsely Built";1;608.280000010098;FALSE;"Your Place"
769;"Bare rock paved";NA;203;"Sparsely Built";1;890.330000011483;FALSE;"Your Place"
864;"Bare rock paved";NA;203;"Sparsely Built";1;14.6646786880447;FALSE;"Your Place"
317;"Scattered trees";NA;203;"Sparsely Built";1;1.25953713199124;FALSE;"Your Place"
444;"Low plants";NA;203;"Sparsely Built";1;417.483659161458;FALSE;"Your Place"
399;"Scattered trees";NA;203;"Sparsely Built";1;9.7862353232922;FALSE;"Your Place"
424;"Sparsely Built";1;206;"Open low";0.018994385710894;5962.71666304639;FALSE;"Your Place"
483;"Sparsely Built";1;206;"Open low";0.018994385710894;10.2008410893977;FALSE;"Your Place"
418;"Dense trees";NA;206;"Open low";0.018994385710894;2.75543035357259;FALSE;"Your Place"
444;"Low plants";NA;206;"Open low";0.018994385710894;4.81824455044989;FALSE;"Your Place"
