"ID_RSU";"bdtopo.2.2";"LCZ_UNIQUENESS_VALUE";"ID_RSU.1";"osm";"LCZ_UNIQUENESS_VALUE.1";"area";"location";"agree"
721;"105";NA;207;"9";1;7.91054974542931;"No specified Location";FALSE
740;"105";NA;207;"9";1;572.262540396303;"No specified Location";FALSE
777;"3";0.484218592160539;207;"9";1;48.0692828400643;"No specified Location";FALSE
477;"9";0.920165357842559;211;"9";0.994618067427207;3546.7386258936;"No specified Location";TRUE
500;"6";0.238084361499886;211;"9";0.994618067427207;10.3278231229633;"No specified Location";FALSE
562;"9";0.291669813158481;211;"9";0.994618067427207;15.9562563863583;"No specified Location";TRUE
592;"6";0.590610461121593;211;"9";0.994618067427207;0.897728256648406;"No specified Location";FALSE
531;"9";0.567013665405127;211;"9";0.994618067427207;3.49797639426833;"No specified Location";TRUE
620;"8";NA;211;"9";0.994618067427207;0.0831385623896495;"No specified Location";FALSE
638;"9";0.0978120980482985;211;"9";0.994618067427207;74.4101049824731;"No specified Location";TRUE
662;"9";1;211;"9";0.994618067427207;17.1112176629249;"No specified Location";TRUE
574;"9";0.81923609073883;211;"9";0.994618067427207;14667.9790865006;"No specified Location";TRUE
424;"9";1;220;"9";0.629538325087819;11.9628328932449;"No specified Location";TRUE
418;"101";NA;220;"9";0.629538325087819;158.671372025798;"No specified Location";FALSE
483;"9";1;220;"9";0.629538325087819;14350.2798494937;"No specified Location";TRUE
558;"8";NA;220;"9";0.629538325087819;17.6279697847785;"No specified Location";FALSE
444;"104";NA;220;"9";0.629538325087819;69.3033027286638;"No specified Location";FALSE
477;"9";0.920165357842559;223;"6";0.724019866306409;3.41819152090466;"No specified Location";FALSE
497;"6";0.196115506076856;223;"6";0.724019866306409;965.543349757325;"No specified Location";TRUE
499;"6";0.0782548445173729;223;"6";0.724019866306409;275.120000000577;"No specified Location";TRUE
441;"9";1;223;"6";0.724019866306409;11.7618479542434;"No specified Location";FALSE
500;"6";0.238084361499886;223;"6";0.724019866306409;10152.0454914733;"No specified Location";TRUE
531;"9";0.567013665405127;223;"6";0.724019866306409;71.1126440213993;"No specified Location";FALSE
425;"102";NA;230;"6";0.46569971183266;28.2583306851811;"No specified Location";FALSE
465;"9";1;230;"6";0.46569971183266;3.93762556731235;"No specified Location";FALSE
440;"9";0.666007687843215;230;"6";0.46569971183266;46.904308855359;"No specified Location";FALSE
543;"9";0.564072656142617;230;"6";0.46569971183266;12.0578319753986;"No specified Location";FALSE
544;"8";NA;230;"6";0.46569971183266;0.00136239796120208;"No specified Location";FALSE
489;"105";NA;230;"6";0.46569971183266;2.83574280270841;"No specified Location";FALSE
518;"9";0.80577474521471;230;"6";0.46569971183266;9923.30579895852;"No specified Location";FALSE
477;"9";0.920165357842559;233;"6";0.257162252934841;29.455895367958;"No specified Location";FALSE
500;"6";0.238084361499886;233;"6";0.257162252934841;0.57259630470071;"No specified Location";TRUE
562;"9";0.291669813158481;233;"6";0.257162252934841;11160.9150776479;"No specified Location";FALSE
592;"6";0.590610461121593;233;"6";0.257162252934841;406.452271755785;"No specified Location";TRUE
531;"9";0.567013665405127;233;"6";0.257162252934841;10087.1900013457;"No specified Location";FALSE
693;"102";NA;233;"6";0.257162252934841;12.4579280116595;"No specified Location";FALSE
620;"8";NA;233;"6";0.257162252934841;21784.3233311954;"No specified Location";FALSE
453;"9";1;233;"6";0.257162252934841;145.544072806864;"No specified Location";FALSE
574;"9";0.81923609073883;233;"6";0.257162252934841;42.4413115795251;"No specified Location";FALSE
748;"6";0.213118522713949;233;"6";0.257162252934841;36.7103263473127;"No specified Location";TRUE
425;"102";NA;241;"6";0.258123622736349;5.59083671285771;"No specified Location";FALSE
440;"9";0.666007687843215;241;"6";0.258123622736349;74.3945959559642;"No specified Location";FALSE
580;"101";NA;241;"6";0.258123622736349;125.827759053282;"No specified Location";FALSE
582;"102";NA;241;"6";0.258123622736349;19.253493410768;"No specified Location";FALSE
730;"105";NA;241;"6";0.258123622736349;170.60998849824;"No specified Location";FALSE
543;"9";0.564072656142617;241;"6";0.258123622736349;94902.390907045;"No specified Location";FALSE
695;"6";0.665952915876931;241;"6";0.258123622736349;34.4615421180497;"No specified Location";TRUE
674;"6";1;241;"6";0.258123622736349;25.4231978892349;"No specified Location";TRUE
544;"8";NA;241;"6";0.258123622736349;15767.9986376227;"No specified Location";FALSE
518;"9";0.80577474521471;241;"6";0.258123622736349;69.4603991422337;"No specified Location";FALSE
541;"8";NA;241;"6";0.258123622736349;274.405485048366;"No specified Location";FALSE
418;"101";NA;253;"6";0.0606276060554452;0.365884696075227;"No specified Location";FALSE
558;"8";NA;253;"6";0.0606276060554452;2.37630787375383;"No specified Location";FALSE
444;"104";NA;253;"6";0.0606276060554452;75.9751868059539;"No specified Location";FALSE
589;"8";NA;253;"6";0.0606276060554452;36386.3892094926;"No specified Location";FALSE
587;"101";NA;253;"6";0.0606276060554452;291.333835169673;"No specified Location";FALSE
721;"105";NA;253;"6";0.0606276060554452;0.25730218514218;"No specified Location";FALSE
620;"8";NA;260;"6";0.722746863409091;50.1416678519454;"No specified Location";FALSE
638;"9";0.0978120980482985;260;"6";0.722746863409091;7416.52667213418;"No specified Location";FALSE
662;"9";1;260;"6";0.722746863409091;8.2836297773174;"No specified Location";FALSE
574;"9";0.81923609073883;260;"6";0.722746863409091;3.24187799874926;"No specified Location";FALSE
749;"102";NA;262;"9";1;918.340728150448;"No specified Location";FALSE
693;"102";NA;262;"9";1;5961.8026768798;"No specified Location";FALSE
620;"8";NA;262;"9";1;28.3517418201081;"No specified Location";FALSE
638;"9";0.0978120980482985;262;"9";1;68.3982228846294;"No specified Location";TRUE
662;"9";1;262;"9";1;2282.15516317775;"No specified Location";TRUE
574;"9";0.81923609073883;262;"9";1;0.0105416565056657;"No specified Location";TRUE
750;"6";0.865935720198607;262;"9";1;24.6252024823334;"No specified Location";FALSE
659;"105";NA;267;"6";0.629941844950683;40.6806622630684;"No specified Location";FALSE
652;"105";NA;267;"6";0.629941844950683;36.9746999638446;"No specified Location";FALSE
653;"6";0.242483851659319;267;"6";0.629941844950683;6551.23157838712;"No specified Location";TRUE
690;"105";NA;267;"6";0.629941844950683;331.938836909132;"No specified Location";FALSE
668;"6";0.301392971999253;267;"6";0.629941844950683;4633.29851617241;"No specified Location";TRUE
678;"105";NA;267;"6";0.629941844950683;160.24582093698;"No specified Location";FALSE
730;"105";NA;267;"6";0.629941844950683;110.106282965513;"No specified Location";FALSE
695;"6";0.665952915876931;267;"6";0.629941844950683;7037.44321526261;"No specified Location";TRUE
674;"6";1;267;"6";0.629941844950683;16.6613451967364;"No specified Location";TRUE
541;"8";NA;267;"6";0.629941844950683;40.3820882246946;"No specified Location";FALSE
548;"8";NA;267;"6";0.629941844950683;12.5919070734235;"No specified Location";FALSE
578;"8";NA;267;"6";0.629941844950683;2.45859099365771;"No specified Location";FALSE
690;"105";NA;272;"6";0.197460688003698;16.9411630847608;"No specified Location";FALSE
668;"6";0.301392971999253;272;"6";0.197460688003698;17.236483822111;"No specified Location";TRUE
695;"6";0.665952915876931;272;"6";0.197460688003698;74.9602426439524;"No specified Location";TRUE
674;"6";1;272;"6";0.197460688003698;3977.32930517429;"No specified Location";TRUE
541;"8";NA;272;"6";0.197460688003698;11.4517599572428;"No specified Location";FALSE
589;"8";NA;277;"9";0.942603365174284;126.726526034996;"No specified Location";FALSE
